id,label,alt_labels,parent_id
SK5117,Scientific Software Group AQUA3D,scientificsoftwaregroupaqua3d,43232605
SK5118,Scientific Software Group AquaDyn,scientificsoftwaregroupaquadyn,43232605
SK5119,Scientific Software Group AQUASEA,scientificsoftwaregroupaquasea,43232605
SK5120,Scientific Software Group Aquifer win32,scientificsoftwaregroupaquiferwin32,43232605
SK5121,Scientific Software Group AQUIPACK,scientificsoftwaregroupaquipack,43232605
SK5122,Scientific Software Group AT123D,scientificsoftwaregroupat123d,43232605
SK5123,Scientific Software Group BIO1D,scientificsoftwaregroupbio1d,43232605
SK5124,Scientific Software Group BIOF&T,scientificsoftwaregroupbiof&t,43232605
SK5125,Scientific Software Group BIOSLURP,scientificsoftwaregroupbioslurp,43232605
SK5126,Scientific Software Group BioTrends,scientificsoftwaregroupbiotrends,43232605
SK5127,Scientific Software Group CHASM,scientificsoftwaregroupchasm,43232605
SK5128,Scientific Software Group ChemGraph,scientificsoftwaregroupchemgraph,43232306
SK5129,Scientific Software Group DTM,scientificsoftwaregroupdtm,43233506
SK5130,Scientific Software Group Enviro-Base Pro,"scientific software group enviro base pro,scientific software group envirobase pro,scientificsoftwaregroupenviro-basepro",43232306
SK5131,Scientific Software Group EnviroScape,scientificsoftwaregroupenviroscape,43232605
SK5132,Scientific Software Group EVS,scientificsoftwaregroupevs,43232604
SK5133,Scientific Software Group Filter Drain FD,scientificsoftwaregroupfilterdrainfd,43232605
SK5134,Scientific Software Group GFLOW,scientificsoftwaregroupgflow,43232605
SK5135,Scientific Software Group HydroGeo Analyst,scientificsoftwaregrouphydrogeoanalyst,43232605
SK5136,Scientific Software Group HYDROGEOCHEM,scientificsoftwaregrouphydrogeochem,43232605
SK5137,Scientific Software Group MARS 2-D/3-D,"3-d,scientific software group mars 2 d/3 d,scientific software group mars 2-d,scientific software group mars 2d/3d,scientificsoftwaregroupmars2-d/3-d",43232605
SK5138,Scientific Software Group MIDUSS,scientificsoftwaregroupmiduss,43232605
SK5139,Scientific Software Group MINTEQA2,scientificsoftwaregroupminteqa2,43232605
SK5140,Scientific Software Group MOCDENSE,scientificsoftwaregroupmocdense,43232605
SK5141,Scientific Software Group MODFLOWT,scientificsoftwaregroupmodflowt,43232605
SK5142,Scientific Software Group MODPUMP,scientificsoftwaregroupmodpump,43232605
SK5143,Scientific Software Group MODRET,scientificsoftwaregroupmodret,43232605
SK5144,Scientific Software Group MOFAT,scientificsoftwaregroupmofat,43232605
SK5145,Scientific Software Group MohrView,scientificsoftwaregroupmohrview,43232605
SK5146,Scientific Software Group MOVER,scientificsoftwaregroupmover,43232605
SK5147,Scientific Software Group MS-VMS,"scientific software group ms vms,scientific software group msvms,scientificsoftwaregroupms-vms",43232605
SK5148,Scientific Software Group MT3D99,scientificsoftwaregroupmt3d99,43232605
SK5149,Scientific Software Group OILVOL,scientificsoftwaregroupoilvol,43232605
SK5150,Scientific Software Group POLLUTE,scientificsoftwaregrouppollute,43232605
SK5151,Scientific Software Group QHM,scientificsoftwaregroupqhm,43232605
SK5152,Scientific Software Group QuickSoil,scientificsoftwaregroupquicksoil,43232605
SK5153,Scientific Software Group RISC WorkBench,scientificsoftwaregroupriscworkbench,43232605
SK5154,Scientific Software Group RMT,scientificsoftwaregrouprmt,43233506
SK5155,Scientific Software Group SEQUENCE,scientificsoftwaregroupsequence,43232605
SK5156,Scientific Software Group SESOIL,scientificsoftwaregroupsesoil,43232605
SK5157,Scientific Software Group SLAEM/MLAEM,"mlaem,scientific software group slaem,scientificsoftwaregroupslaem/mlaem",43232605
